,M
362,0.04442173812721316
363,0.042598842406828936
364,0.04061732691632412
365,0.038485668501752536
366,0.03621289502094215
367,0.033808547575842965
368,0.031282640896870495
369,0.028645622042505592
370,0.02590832758329189
371,0.02308193944456271
372,0.020177939586719682
373,0.017208063705650947
374,0.014184254138917038
375,0.011118612165629009
376,0.008023349889500283
377,0.004910741895355308
378,0.001793076869441409
379,-0.0013173906267995434
380,-0.0044084880412647584
381,-0.007468172187951058
382,-0.010484575892733428
383,-0.013446053748531705
384,-0.016341226804495373
385,-0.019159026018767962
386,-0.021888734309966105
387,-0.024520027048703562
388,-0.027043010837279176
389,-0.029448260432998988
390,-0.03172685367849016
391,-0.03387040431075
392,-0.03587109252952248
393,-0.037721693214877824
394,-0.03941560169353892
395,-0.040946856963519
396,-0.04231016229696974
397,-0.04350090315173758
398,-0.044515162332953266
399,-0.04534973235699172
400,-0.04600212498128644
401,-0.046470577874728594
402,-0.046754058414677085
403,-0.04685226460790693
404,-0.046765623144088386
405,-0.04649528460157234
406,-0.04604311583631691
407,-0.045411689595680496
408,-0.044604271409488284
409,-0.043624803821212775
410,-0.0424778880322508
411,-0.041168763042093125
412,-0.039703282376633973
413,-0.038087888505916795
414,-0.03632958506122642
415,-0.03443590696959021
416,-0.03241488863140353
417,-0.030275030274024443
418,-0.028025262620767485
419,-0.025674910020731957
420,-0.023233652190319396
421,-0.02071148472209515
422,-0.018118678520827065
423,-0.01546573833006544
424,-0.012763360515509631
425,-0.010022390273622787
426,-0.007253778435509458
427,-0.004468538036947754
428,-0.0016777008256772166
429,0.001107726123420014
430,0.0038768035157318334
431,0.006618702499196842
432,0.009322746716159945
433,0.011978453582577608
434,0.014575574636041548
435,0.017104134798383647
436,0.019554470403503686
437,0.02191726584651172
438,0.02418358871625724
439,0.026344923279819847
440,0.028393202194522734
441,0.030320836330476945
442,0.03212074259453471
443,0.033786369654800155
444,0.03531172147347129
445,0.03669137856474245
446,0.037920516903738384
447,0.03899492442194713
448,0.03991101503432681
449,0.040665840153146254
450,0.04125709765363996
451,0.04168313826667367
452,0.04194296938378897
453,0.04203625627018593
454,0.04196332069136712
455,0.04172513696926906
456,0.04132332549370697
457,0.04076014372481933
458,0.04003847473187711
459,0.039161813323287095
460,0.038134249831833104
461,0.03696045162812003
462,0.03564564244379332
463,0.03419557959435587
464,0.03261652919927066
465,0.03091523950449286
466,0.029098912419587425
467,0.02717517338813303
468,0.025152039716173958
469,0.023037887489020664
470,0.020841417211717877
471,0.018571618312959542
472,0.016237732656131976
473,0.013849217204487042
474,0.011415705990183225
475,0.008946971539069613
476,0.006452885904622082
477,0.003943381465371746
478,0.0014284116404873703
479,-0.0010820883221139873
480,-0.0035782403316357925
481,-0.006050262062249331
482,-0.008488505032985842
483,-0.010883492012396623
484,-0.013225953603919361
485,-0.015506863871659827
486,-0.017717474870600974
487,-0.019849349950071826
488,-0.021894395704620383
489,-0.023844892452223567
490,-0.025693523125997604
491,-0.027433400472230262
492,-0.029058092454603206
493,-0.03056164577188717
494,-0.03193860740414144
495,-0.03318404411050024
496,-0.034293559809948373
497,-0.035263310785049566
498,-0.03609001865734888
499,-0.0367709810921008
500,-0.03730408019903157
501,-0.037687788605002694
502,-0.03792117318365655
503,-0.038003896436364204
504,-0.03793621552802097
505,-0.03771897899041404
506,-0.037353621114978613
507,-0.036842154065732
508,-0.036187157751994145
509,-0.03539176750913525
510,-0.034459659643997116
511,-0.03339503490979573
512,-0.03220259998317941
513,-0.030887547023678283
514,-0.02945553140299454
515,-0.02791264769842931
516,-0.02626540405119304
517,-0.02452069499637929
518,-0.022685772876974646
519,-0.020768217959406823
520,-0.018775907372787885
521,-0.016716982998164032
522,-0.014599818437731279
523,-0.012432985197099658
524,-0.010225218216280538
525,-0.007985380887122528
526,-0.005722429696423111
527,-0.0034453786349003448
528,-0.001163263512602814
529,0.001114893678809152
530,0.003380120217183828
531,0.005623527775916484
532,0.007836347088207648
533,0.01000996201515309
534,0.012135942886111556
535,0.014206078983129457
536,0.01621241004502759
537,0.01814725667105513
538,0.020003249508769402
539,0.02177335711598828
540,0.02345091239226299
541,0.025029637481311266
542,0.02650366705220311
543,0.02786756987378653
544,0.02911636860384457
545,0.030245557721760654
546,0.03125111954100795
547,0.032129538245543314
548,0.03287781190213374
549,0.03349346240876229
550,0.033974543347492364
551,0.03431964571851105
552,0.03452790154045949
553,0.03459898531058877
554,0.03453311332669356
555,0.03433104088116078
556,0.03399405734577797
557,0.033523979174158204
558,0.03292314085670807
559,0.032194383870978956
560,0.031341043677948315
561,0.03036693482226974
562,0.029276334201762032
563,0.02807396257835919
564,0.02676496440938696
565,0.025354886084346762
566,0.02384965265833861
567,0.02225554317883733
568,0.020579164707711414
569,0.01882742514513804
570,0.017007504966394072
571,0.015126827986378306
572,0.013193031270133946
573,0.011213934310580011
574,0.009197507597105773
575,0.007151840700650802
576,0.005085110002343373
577,0.0030055461937311657
578,0.0009214016770903683
579,-0.0011590820057606212
580,-0.0032277065882673458
581,-0.005276349210753187
582,-0.007296994143573983
583,-0.009281763978586693
584,-0.011222950168215933
585,-0.013113042794379876
586,-0.01494475945296531
587,-0.016711073143407484
588,-0.018405239057214414
589,-0.0200208201639616
590,-0.021551711498353155
591,-0.02299216305737168
592,-0.024336801222309114
593,-0.025580648626551773
594,-0.02671914239636252
595,-0.027748150698541658
596,-0.02866398753571584
597,-0.029463425737089648
598,-0.03014370809975119
599,-0.03070255664304078
600,-0.031138179946023862
601,-0.031449278545737945
602,-0.03163504838157084
603,-0.03169518227885082
604,-0.03162986947244802
605,-0.03143979317888115
606,-0.03112612623305651
607,-0.03069052481331148
608,-0.030135120285859664
609,-0.029462509207017925
610,-0.0286757415286969
611,-0.027778307059542488
612,-0.026774120240788176
613,-0.02566750330229939
614,-0.02446316787043413
615,-0.023166195105183127
616,-0.021782014449572663
617,-0.020316381079485354
618,-0.018775352146865997
619,-0.01716526191371031
620,-0.01549269587826614
621,-0.013764463998501456
622,-0.011987573121089829
623,-0.010169198726928327
624,-0.008316656106520196
625,-0.006437371080421475
626,-0.004538850381358991
627,-0.0026286518155715123
628,-0.0007143543214098096
629,0.0011964719567541591
630,0.003096295461703248
631,0.004977652766938516
632,0.006833177755292624
633,0.008655630319065391
634,0.010437924470403688
